order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000401,CUST0179,PROD037,2,-9087.8,completed,Net Banking,Hyderabad,2026-05-03 19:37:00
ORD000402,CUST0073,PROD039,1,4302.31,pending,Debit Card,Hyderabad,2026-05-03 23:49:00
ORD000403,CUST0148,PROD034,1,3957.64,completed,UPI,Kolkata,2026-05-03 14:00:00
ORD000404,CUST0028,PROD010,2,4147.57,completed,EMI,Hyderabad,2026-05-03 14:44:00
ORD000405,CUST0157,PROD018,1,2845.12,returned,Debit Card,Chennai,2026-05-03 16:54:00
ORD000406,CUST0095,PROD036,1,2438.22,completed,Credit Card,Hyderabad,2026-05-03 21:35:00
ORD000407,CUST0169,PROD008,1,3692.12,completed,Debit Card,Bangalore,2026-05-03 19:49:00
ORD000408,CUST0141,PROD040,1,3941.1,completed,UPI,Bangalore,2026-05-03 11:13:00
ORD000409,CUST0038,PROD031,1,500.89,failed,Debit Card,Delhi,2026-05-03 20:40:00
ORD000410,CUST0010,PROD047,1,446.2,completed,Debit Card,Surat,2026-05-03 10:16:00
ORD000411,CUST0199,PROD012,3,1003.33,completed,Debit Card,Mumbai,2026-05-03 17:45:00
ORD000412,CUST0074,PROD013,1,4029.35,completed,EMI,Jaipur,2026-05-03 14:54:00
ORD000413,CUST0062,PROD042,1,228.5,completed,Net Banking,Delhi,2026-05-03 15:39:00
ORD000414,CUST0104,PROD038,1,3364.83,completed,UPI,Delhi,2026-05-03 16:49:00
ORD000415,CUST0150,PROD023,0,4157.34,completed,Credit Card,Chennai,2026-05-03 10:35:00
ORD000416,CUST0067,PROD012,2,5791.58,completed,UPI,Jaipur,2026-05-03 14:29:00
ORD000417,CUST0132,PROD017,1,4737.73,pending,EMI,Hyderabad,2026-05-03 10:32:00
ORD000418,CUST0194,PROD022,1,3861.34,returned,Debit Card,Ahmedabad,2026-05-03 22:24:00
ORD000419,CUST0163,PROD015,1,384.39,completed,Net Banking,Pune,2026-05-03 08:30:00
ORD000420,CUST0068,PROD016,1,98.13,completed,Debit Card,Pune,2026-05-03 21:22:00
ORD000421,CUST0091,PROD014,2,4817.9,failed,Credit Card,Bangalore,2026-05-03 10:35:00
ORD000422,CUST0062,PROD017,1,1212.56,completed,Net Banking,Chennai,2026-05-03 14:31:00
ORD000423,CUST0021,PROD044,1,643.4,returned,Debit Card,Surat,2026-05-03 19:09:00
ORD000424,CUST0124,PROD024,2,9584.13,completed,Debit Card,Surat,2026-05-03 08:48:00
ORD000425,CUST0131,PROD018,1,3833.1,completed,EMI,Bangalore,2026-05-03 16:31:00
ORD000426,CUST0139,PROD003,1,2417.68,completed,Debit Card,Bangalore,2026-05-03 09:33:00
ORD000427,CUST0177,PROD001,1,2327.35,completed,Net Banking,Kolkata,2026-05-03 22:07:00
ORD000428,CUST0048,PROD036,1,4316.12,completed,Credit Card,Ahmedabad,2026-05-03 11:20:00
ORD000429,CUST0108,PROD045,1,2148.52,completed,Credit Card,Kolkata,2026-05-03 18:23:00
ORD000430,CUST0148,PROD044,1,699.14,completed,UPI,Hyderabad,2026-05-03 16:28:00
ORD000431,CUST0038,PROD048,1,1935.37,completed,UPI,Bangalore,2026-05-03 15:35:00
ORD000432,CUST0162,PROD034,1,-4471.69,completed,Credit Card,Ahmedabad,2026-05-03 21:31:00
ORD000433,CUST0102,PROD007,1,2860.78,completed,UPI,Chennai,2026-05-03 17:16:00
ORD000434,CUST0191,PROD022,2,1053.39,completed,Credit Card,Jaipur,2026-05-03 16:30:00
ORD000435,CUST0174,PROD039,1,650.13,completed,EMI,Jaipur,2026-05-03 16:22:00
ORD000436,CUST0131,PROD032,1,1659.2,completed,Debit Card,Delhi,2026-05-03 13:49:00
ORD000437,CUST0038,PROD011,1,3176.98,completed,Credit Card,Kolkata,2026-05-03 20:39:00
ORD000438,CUST0088,PROD015,2,883.21,completed,Credit Card,Hyderabad,2026-05-03 20:54:00
ORD000439,CUST0093,PROD048,2,7831.64,completed,Debit Card,Kolkata,2026-05-03 20:17:00
ORD000440,CUST0061,PROD043,2,1337.9,completed,UPI,Chennai,2026-05-03 13:11:00
ORD000441,CUST0122,PROD036,1,365.77,completed,Debit Card,Jaipur,2026-05-03 13:25:00
ORD000442,CUST0168,PROD025,1,818.61,completed,Net Banking,Hyderabad,2026-05-03 10:06:00
ORD000443,CUST0044,PROD002,1,2657.37,completed,Credit Card,Pune,2026-05-03 22:40:00
ORD000444,CUST0070,PROD036,3,8177.67,completed,EMI,Bangalore,2026-05-03 23:29:00
ORD000445,CUST0112,PROD034,1,4392.6,completed,EMI,Hyderabad,2026-05-03 22:40:00
ORD000446,CUST0114,PROD020,1,4033.3,completed,Credit Card,Bangalore,2026-05-03 19:30:00
ORD000447,CUST0035,PROD023,1,4086.13,completed,EMI,Mumbai,2026-05-03 17:00:00
ORD000448,CUST0111,PROD019,1,95.21,completed,UPI,Jaipur,2026-05-03 23:48:00
ORD000449,CUST0102,PROD016,1,2824.74,completed,Debit Card,Kolkata,2026-05-03 19:12:00
ORD000450,CUST0133,PROD049,1,3145.35,pending,EMI,Hyderabad,2026-05-03 15:16:00
ORD000451,CUST0106,PROD013,1,4053.6,pending,Net Banking,Bangalore,2026-05-03 17:41:00
ORD000452,CUST0070,PROD045,1,3107.76,completed,Net Banking,Pune,2026-05-03 17:07:00
ORD000453,CUST0048,PROD007,1,2698.11,completed,Net Banking,Ahmedabad,2026-05-03 08:09:00
ORD000454,CUST0056,PROD022,1,122.89,completed,Debit Card,Pune,2026-05-03 08:14:00
ORD000455,CUST0193,PROD010,1,1684.73,completed,Debit Card,Delhi,2026-05-03 22:44:00
ORD000456,CUST0098,PROD001,1,4215.62,completed,Net Banking,Kolkata,2026-05-03 23:11:00
ORD000457,CUST0118,PROD048,1,215.88,completed,EMI,Chennai,2026-05-03 22:15:00
ORD000458,CUST0083,PROD011,1,-1594.94,completed,UPI,Jaipur,2026-05-03 23:24:00
ORD000459,CUST0093,PROD004,1,1529.12,pending,Net Banking,Delhi,2026-05-03 11:16:00
ORD000460,CUST0071,PROD038,1,124.59,completed,Net Banking,Mumbai,2026-05-03 15:40:00
ORD000461,CUST0153,PROD010,1,2402.59,completed,UPI,Chennai,2026-05-03 09:37:00
ORD000462,CUST0195,PROD041,1,3112.29,completed,Credit Card,Bangalore,2026-05-03 13:31:00
ORD000463,CUST0143,PROD042,1,1617.86,completed,Debit Card,Chennai,2026-05-03 11:08:00
ORD000464,CUST0065,PROD003,1,3635.78,completed,Debit Card,Jaipur,2026-05-03 08:44:00
ORD000465,CUST0048,PROD035,1,989.39,completed,Debit Card,Hyderabad,2026-05-03 17:34:00
ORD000466,CUST0068,PROD035,1,2274.45,completed,UPI,Jaipur,2026-05-03 13:04:00
ORD000467,CUST0094,PROD050,1,142.66,completed,Credit Card,Delhi,2026-05-03 20:46:00
ORD000468,CUST0142,PROD010,1,2512.87,completed,Credit Card,Kolkata,2026-05-03 20:12:00
ORD000469,CUST0012,PROD009,1,3311.51,completed,UPI,Chennai,2026-05-03 18:07:00
ORD000470,CUST0165,PROD025,1,207.49,completed,EMI,Surat,2026-05-03 11:31:00
ORD000471,CUST0019,PROD001,1,3049.47,failed,Net Banking,Ahmedabad,2026-05-03 16:03:00
ORD000472,CUST0143,PROD048,2,700.93,failed,Debit Card,Pune,2026-05-03 10:29:00
ORD000473,CUST0188,PROD005,1,2668.65,pending,UPI,Chennai,2026-05-03 09:52:00
ORD000474,CUST0049,PROD013,1,2681.72,completed,Net Banking,Surat,2026-05-03 11:06:00
ORD000475,CUST0028,PROD050,1,2105.16,completed,Credit Card,Ahmedabad,2026-05-03 13:35:00
ORD000476,CUST0141,PROD026,1,3972.68,completed,Net Banking,Jaipur,2026-05-03 21:56:00
ORD000477,CUST0084,PROD024,1,1610.02,completed,Debit Card,Pune,2026-05-03 22:59:00
ORD000478,,PROD048,1,1906.56,completed,Debit Card,Ahmedabad,2026-05-03 15:36:00
ORD000479,CUST0153,PROD002,1,4915.63,completed,Credit Card,Mumbai,2026-05-03 20:00:00
ORD000480,CUST0198,PROD045,1,1608.78,pending,EMI,Jaipur,2026-05-03 17:14:00
ORD000481,CUST0036,PROD017,1,1810.5,completed,EMI,Chennai,2026-05-03 12:06:00
ORD000482,CUST0103,PROD037,2,1009.86,failed,UPI,Pune,2026-05-03 15:16:00
ORD000483,CUST0180,PROD037,1,4500.17,pending,UPI,Surat,2026-05-03 23:11:00
ORD000484,CUST0021,PROD050,1,2902.6,completed,Credit Card,Pune,2026-05-03 17:02:00
ORD000485,CUST0198,PROD015,2,1293.35,completed,EMI,Mumbai,2026-05-03 21:26:00
ORD000486,,PROD037,1,253.85,completed,EMI,Chennai,2026-05-03 20:03:00
ORD000487,CUST0115,PROD049,1,4986.97,completed,EMI,Delhi,2026-05-03 12:03:00
ORD000488,CUST0034,PROD022,1,2001.9,completed,EMI,Mumbai,2026-05-03 15:27:00
ORD000489,CUST0199,PROD045,1,2534.02,completed,Net Banking,Ahmedabad,2026-05-03 20:16:00
ORD000490,CUST0144,PROD040,1,2878.09,returned,EMI,Chennai,2026-05-03 14:31:00
ORD000491,CUST0176,PROD037,1,2178.83,completed,Debit Card,Kolkata,2026-05-03 15:04:00
ORD000492,CUST0168,PROD002,1,-1755.4,completed,Net Banking,Pune,2026-05-03 19:22:00
ORD000493,CUST0060,PROD013,1,272.14,completed,Net Banking,Delhi,2026-05-03 22:39:00
ORD000494,CUST0038,PROD019,1,4747.26,completed,UPI,Hyderabad,2026-05-03 11:47:00
ORD000495,CUST0138,PROD014,1,1084.6,completed,EMI,Hyderabad,2026-05-03 22:30:00
ORD000496,CUST0179,PROD043,1,749.67,completed,EMI,Jaipur,2026-05-03 23:39:00
ORD000497,CUST0179,PROD040,1,1455.87,completed,Debit Card,Mumbai,2026-05-03 09:16:00
ORD000498,CUST0169,PROD024,1,3331.76,pending,UPI,Hyderabad,2026-05-03 10:24:00
ORD000499,CUST0182,PROD007,3,-7701.82,failed,Debit Card,Surat,2026-05-03 20:14:00
ORD000500,CUST0144,PROD046,1,4835.62,completed,Net Banking,Jaipur,2026-05-03 10:11:00
ORD000501,CUST0005,PROD023,1,3734.73,completed,Credit Card,Hyderabad,2026-05-03 17:21:00
ORD000502,CUST0066,PROD025,1,356.95,failed,UPI,Jaipur,2026-05-03 15:32:00
ORD000503,CUST0169,PROD009,0,4491.02,completed,Debit Card,Jaipur,2026-05-03 16:14:00
ORD000504,CUST0080,PROD039,1,806.11,completed,EMI,Bangalore,2026-05-03 15:26:00
ORD000505,CUST0052,PROD009,1,2729.7,completed,EMI,Bangalore,2026-05-03 14:41:00
ORD000506,CUST0145,PROD011,3,2305.51,completed,EMI,Jaipur,2026-05-03 21:58:00
ORD000507,CUST0187,PROD002,1,4404.21,completed,Debit Card,Kolkata,2026-05-03 11:11:00
ORD000508,CUST0164,PROD048,1,4117.41,completed,Net Banking,Delhi,2026-05-03 17:28:00
ORD000509,CUST0158,PROD018,1,4930.48,completed,EMI,Chennai,2026-05-03 12:11:00
ORD000510,CUST0177,PROD050,1,1828.34,completed,EMI,Surat,2026-05-03 15:14:00
ORD000511,CUST0100,PROD032,1,960.68,completed,Net Banking,Chennai,2026-05-03 23:45:00
ORD000512,CUST0070,PROD027,1,4845.63,completed,Net Banking,Chennai,2026-05-03 15:02:00
ORD000513,CUST0158,PROD032,2,9857.71,completed,Debit Card,Chennai,2026-05-03 10:11:00
ORD000514,CUST0098,PROD047,1,3059.25,completed,EMI,Surat,2026-05-03 21:25:00
ORD000515,CUST0011,PROD016,1,2311.66,completed,Debit Card,Mumbai,2026-05-03 09:33:00
ORD000516,CUST0049,PROD019,1,4814.83,completed,Credit Card,Hyderabad,2026-05-03 20:33:00
ORD000517,CUST0014,PROD045,1,3085.01,completed,Net Banking,Ahmedabad,2026-05-03 22:10:00
ORD000518,CUST0200,PROD038,1,610.2,failed,EMI,Bangalore,2026-05-03 22:05:00
ORD000519,CUST0117,PROD038,1,173.31,failed,Net Banking,Ahmedabad,2026-05-03 20:26:00
ORD000520,CUST0183,PROD011,1,3260.45,completed,UPI,Delhi,2026-05-03 10:16:00
ORD000521,CUST0135,PROD046,1,1846.57,completed,EMI,Surat,2026-05-03 11:45:00
ORD000522,CUST0044,PROD022,1,267.34,completed,Net Banking,Bangalore,2026-05-03 13:24:00
ORD000523,CUST0079,PROD020,1,303.99,completed,Debit Card,Hyderabad,2026-05-03 12:11:00
ORD000524,CUST0001,PROD040,2,-9608.3,completed,UPI,Ahmedabad,2026-05-03 13:07:00
ORD000525,CUST0156,PROD032,1,4046.9,completed,EMI,Ahmedabad,2026-05-03 23:54:00
ORD000526,CUST0002,PROD016,1,3026.02,failed,Credit Card,Surat,2026-05-03 22:26:00
ORD000527,CUST0090,PROD003,1,322.57,completed,UPI,Surat,2026-05-03 14:03:00
ORD000528,CUST0107,PROD012,2,585.41,completed,Credit Card,Surat,2026-05-03 17:21:00
ORD000529,CUST0010,PROD006,1,1832.93,completed,Credit Card,Pune,2026-05-03 13:29:00
ORD000530,CUST0141,PROD005,1,2165.25,completed,Net Banking,Delhi,2026-05-03 20:52:00
ORD000531,CUST0179,PROD014,1,2647.0,completed,UPI,Surat,2026-05-03 16:21:00
ORD000532,CUST0181,PROD019,1,3043.65,completed,Credit Card,Hyderabad,2026-05-03 10:30:00
ORD000533,CUST0134,PROD047,1,2835.04,completed,Debit Card,Bangalore,2026-05-03 19:59:00
ORD000534,CUST0031,PROD002,1,1008.1,completed,UPI,Chennai,2026-05-03 15:45:00
ORD000535,CUST0164,PROD014,1,1780.77,completed,Net Banking,Hyderabad,2026-05-03 21:26:00
ORD000536,CUST0141,PROD021,1,1536.41,completed,UPI,Pune,2026-05-03 16:50:00
ORD000537,CUST0008,PROD012,1,3099.17,completed,Credit Card,Ahmedabad,2026-05-03 18:25:00
ORD000538,CUST0040,PROD041,1,-721.98,completed,EMI,Pune,2026-05-03 23:51:00
ORD000539,CUST0015,PROD034,2,9285.12,completed,Credit Card,Jaipur,2026-05-03 22:50:00
ORD000540,CUST0091,PROD005,1,1692.01,returned,Credit Card,Mumbai,2026-05-03 08:13:00
